,cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
346,Kedrovoye,40,RU,1578358234,85,57.16,60.57,21.2,4.47
347,Diffa,67,NE,1578358235,21,13.32,12.61,64.4,9.69
348,Cabo San Lucas,5,MX,1578358135,53,22.89,-109.91,75.2,11.41
349,Aksu,90,KZ,1578358235,92,52.04,76.93,6.8,2.24
350,Martapura,40,ID,1578358235,88,-3.41,114.85,80.6,4.7
351,Pisco,1,PE,1578358160,83,-13.71,-76.2,71.6,17.22
352,Khilok,96,RU,1578358235,100,51.36,110.46,-5.82,2.1
353,Kant,90,KG,1578358235,92,42.89,74.85,30.2,4.47
354,Grindavik,75,IS,1578358235,86,63.84,-22.43,35.6,8.05
355,Suntar,100,RU,1578358235,93,62.16,117.65,19.24,10.8
356,Owando,53,CG,1578358235,49,-0.49,15.91,74.71,1.01
357,Malinovskiy,85,RU,1578358235,90,54.15,34.53,22.78,5.21
358,Washougal,90,US,1578358235,93,45.58,-122.35,52.0,5.82
359,Carballo,20,ES,1578358235,100,43.21,-8.69,43.0,6.93
360,Elko,1,US,1578358235,38,40.83,-115.76,42.8,6.93
361,Itarema,52,BR,1578358235,86,-2.92,-39.92,77.38,4.03
362,Bondo,86,CD,1578358235,40,3.81,23.69,69.66,2.42
363,Neiafu,40,TO,1578358235,74,-18.65,-173.98,84.2,9.17
364,Puerto Narino,20,CO,1578358236,88,-3.77,-70.38,80.6,3.27
365,Gukovo,90,RU,1578358236,93,48.05,39.94,35.6,15.66
366,Broome,34,GB,1578358236,93,52.47,1.45,43.0,11.41
367,Waddan,17,LY,1578358236,61,29.16,16.14,45.09,6.87
368,Lompoc,1,US,1578358030,37,34.64,-120.46,69.8,3.36
369,Chunskiy,22,RU,1578358236,87,56.08,99.63,13.48,2.53
370,Tokur,82,RU,1578358236,93,53.13,132.9,-1.3,1.48
